,text,user,location,Sentiment_Polarity,Expression Label
277,"RT @AmyMek: YES! Conservative Leaders Stand with Trump! 

Marine Le Pen ‘Absolutely Does Not’ Recognize Joe Biden’s Election Victory Claim…",SFMcDonough1,United States,0.2,positive
278,RT @nypost: Joe Biden transition official wrote op-ed advocating free speech restrictions https://t.co/LKNJQf6Ui0 https://t.co/AOQXGmGQ2F,CisPeoplekind,moon,0.4,positive
279,RT @NightlyPolitics: Joe Biden won the election with the most votes in American history! Pass it on.,zoe10010,"Minnesota, USA",0.25,positive
280,"i went to middle &amp; high school w/ this girl who was super hot for joe biden &amp; our senior year, they listed her in the yearbook as “most likely to be joe biden’s monica lewinsky” &amp; it was, understandably, a HUGE fucking blow up. anyway i wonder how she’s doing this week",interlocutie,,0.130416667,positive
281,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,_Pranto,"Georgia, USA",0.25,positive
283,"RT @ABCPolitics: BREAKING: Joe Biden will win the state of Georgia, Edison projects. https://t.co/hbGx7kIZ24 https://t.co/bo5yYxILqd",Jon_investor,,0.8,positive
284,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,Sid32857452,,0.25,positive
286,"I've worked in legal for ~7 years. Shit ton of simplicity / spelling-out that happens.

I doubt any of the attorneys we work with would nitpick that Joe Biden doesn't say ""count all the LEGAL votes"" rather than simply ""count all the votes"".

#Reaching 

@billmaher @RealTimers",LaurHof11,,0.05,positive
287,Joe Biden is full of shit.  Plain and simple.,denniswenmouth,"Downers Grove, IL",-0.016071429,negative
290,"@realDonaldTrump @PeteHegseth @seanhannity I think the investors that bet on your now defunct casios &amp; businesses would beg to differ, not to mention all the banks who loaned you millions that you didn't pay back. The only thing I'm betting on is that Joe Biden will be a much better president than you...",TheOrigFRODO,Wisconsin,0.166666667,positive
292,"RT @maggieNYT: NEW - Trump has put Rudy Giuliani in charge of his campaign lawsuits related to the outcome of the election, as well as all…",jimjakobs,"Fresno, CA",0.068181818,positive
294,"RT @Peter_Grinspoon: IMHO, there wouldn't even be an ""opiate crisis"" if drugs were legal. No one would be dying. Putting drugs in hands of…",Irishbrat1966,,0.2,positive
295,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,sinkmaster,"Chino Hills, California",0.25,positive
296,RT @SamTLevin: Worth noting: these deportations are expected to continue under Joe Biden. Biden has pledged to target and prioritize people…,CrazyOldGaloot,,0.1,positive
298,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,cpete28,,0.25,positive
300,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,tasha2kute09,,0.25,positive
302,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,ElleJayeK,United States,0.25,positive
303,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,keytothefuture_,"Hackensack, NJ/Raleigh, NC",0.25,positive
304,RT @LifeNewsHQ: Americans will be forced to send hundreds of millions of tax dollars to pro-abortion groups if Joe Biden is elected preside…,IsraelNewsLinks,United States,-0.3,negative
307,RT @amyklobuchar: Georgia: a win!  https://t.co/A7W8370P4m,tammy_dreyer,,1,positive
308,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,peterpiccottic1,,0.25,positive
309,RT @NickBryantNY: Every state has now been called - a clear-cut Electoral College win for President-elect Joe Biden. 306-232. Biden got he…,Aitch_El,Dja dja wurrung land. Never ceded.,0.8,positive
311,"RT @magi_slayer: The left are now openly advocating for more blood of Trump supporters on the streets.
Prep up, Americans. This is Joe Bide…",icicledisaster,可儿,0.166666667,positive
312,RT @joncoopertweets: A Michigan state judge has rejected an attempt by two poll challengers to block the certification of Joe Biden’s win i…,NETTA76716520,,0.8,positive
313,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,kiffkroker32,"Carlsbad, CA",0.25,positive
314,"RT @angie_keathly: Joe Biden &amp; Kamala Harris officially win Arizona! 

Trump can kick rocks! 

#FreshTweets 
#wtpBlue https://t.co/XymWjd17…",lariti2,"Westchester County, NY",1,positive
316,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,kaitlynalxis03,,0.25,positive
317,RT @NateEvans00: Y’all republicans really believe that we would rig the election and then choose JOE BIDEN!?!? 😭😭😭,JenVee216,United States,0.3125,positive
320,"RT @TheRickyDavila: MAGA redhat wearing grifter Kayne threatens to leave the US after Joe Biden and Kamala Harris win.

Bye, we hardly ever…",CathyB84649804,"New Mexico, USA",0.254166667,positive
321,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,Forever_0vo,,0.25,positive
323,Landslide win Congratulations President- elect Joe Biden the 46... Trump has no option than to  concede defeat and vacate Whitehouse.@JoeBiden @KamalaHarris @BarackObama @realDonaldTrump @,wajane1,,0.8,positive
325,"RT @CNN: GOP Utah Gov.-elect Spencer Cox, who has acknowledged Joe Biden’s election victory, discusses why many Republicans are refusing to…",Janabeus,"Caldwell, TX",0.5,positive
326,RT @joncoopertweets: A Michigan state judge has rejected an attempt by two poll challengers to block the certification of Joe Biden’s win i…,mujerpescado,,0.8,positive
327,RT @kylegriffin1: President-elect Joe Biden's return to 'normalcy' will include restoring the daily press briefing — and at least two women…,Guruza14,México,-0.15,negative
328,RT @kylegriffin1: President-elect Joe Biden's return to 'normalcy' will include restoring the daily press briefing — and at least two women…,joaquin_trent,,-0.15,negative
329,"RT @maggieNYT: NEW - Trump has put Rudy Giuliani in charge of his campaign lawsuits related to the outcome of the election, as well as all…",LarryRafferty,"McHenry County, Illinois",0.068181818,positive
330,@MitziMcClain @realDonaldTrump The only smoke is the false tweets from Pres. Pumkin Spice. Use some common sense. Joe Biden won fair and square and the toddler occupying the White House just can’t handle it.,stainmcspilalot,"New Orleans, Louisiana",-2.22E-17,negative
331,"RT @mmpadellan: HUGE NEWS: CNN projected Joe Biden wins Georgia!!!

trump defeated in a LANDSLIDE!!!!!",JWin802,Vermont by way of Mattapoisett,0.7,positive
332,"RT @samanthamarika1: Joe Biden did not get 78 million legal votes 😂

I can’t believe people are believing this!",Joeylo83701896,,0.25,positive
333,RT @NateEvans00: Y’all republicans really believe that we would rig the election and then choose JOE BIDEN!?!? 😭😭😭,frenchiestoast,,0.3125,positive
336,"RT @maggieNYT: NEW - Trump has put Rudy Giuliani in charge of his campaign lawsuits related to the outcome of the election, as well as all…",BonnieSchumm,,0.068181818,positive
337,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,ahmadalhamedawi,"Phoenix, AZ",0.25,positive
341,RT @joncoopertweets: A Michigan state judge has rejected an attempt by two poll challengers to block the certification of Joe Biden’s win i…,kmorga1,"Phoenix, AZ",0.8,positive
342,RT @joncoopertweets: A Michigan state judge has rejected an attempt by two poll challengers to block the certification of Joe Biden’s win i…,jgwilliams4,,0.8,positive
343,RT @factcheckdotorg: A baseless conspiracy theory claims that a secret supercomputer was used to switch votes from Donald Trump to Joe Bide…,SallySueIam,,-0.4,negative
344,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,Miss_Shelle_1,Indianapolis,0.25,positive
345,RT @YourAnonCentral: #US: Joe Biden wins 306 Electoral College votes to Trump's 232: US media. https://t.co/Lr9fkcDjw4,knick_jj,Thailand,0.3,positive
346,RT @MeidasTouch: BREAKING: China has congratulated President-elect Joe Biden on winning the election,gloveisoff,,0.5,positive
347,RT @joncoopertweets: A Michigan state judge has rejected an attempt by two poll challengers to block the certification of Joe Biden’s win i…,FieldDiamond,,0.8,positive
349,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,xaviaisnotokay,therapy,0.25,positive
351,via @NYTimes OH DEAR LAWD! Pure comedy!  https://t.co/yDn78kljmL,kshliker07,Arizona,0.267857143,positive
352,"RT @Nate_Cohn: It's final: Joe Biden 306, Donald Trump 232
Biden wins Georgia. 
Trump wins North Carolina. https://t.co/pc1wRYJmG7",HeathyForLife,,0.2,positive
353,"RT @RBReich: Thanks to communities of color, Joe Biden flipped 5 states.

He must never forget who delivered him the presidency.",HTexans1392,"Houston, TX",0.2,positive
354,RT @axios: Nearly the whole world considers Joe Biden president-elect https://t.co/uVRZNFVH8C https://t.co/c1I6Aks1oD,katemccredie,Great Southern Land,0.15,positive
355,RT @FirenzeMike: Watch out folks Trump put Rudy Giuliani in charge....Joe Biden is definitely in trouble now https://t.co/AkA8GnJMVq,angel4autism,California,-0.2,negative
357,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,Clealand,"California, USA",0.25,positive
358,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,Chantal0511,,0.25,positive
359,RT @jimsciutto: New: Two judges in Pennsylvania tossed half a dozen court cases the Trump campaign had brought to invalidate thousands of v…,pegatpeace,,-0.015151515,negative
360,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,Shmnethelballs,,0.25,positive
361,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,ilovetaeyongg,,0.25,positive
362,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,AAPRBABY,,0.25,positive
365,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,mrcase13,Colorado,0.25,positive
366,RT @DrEricDing: Folks—sleep easy tonight. We’re good now. https://t.co/I98PNOpijk,KOOLFOOLTATTOO,"Waukesha, Wisconsin USA",0.566666667,positive
367,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,saramarie_pr,"Los Angeles, CA",0.25,positive
368,"RT @jomalleydillon: 306. Joe Biden, Kamala Harris, the best team in politics, and nearly 80 million Americans did this.",rosemc159,,0.55,positive
370,RT @AlanaKStewart: Is Joe Biden ever going to hold a real press conference and is the media ever going to ask him any tough questions? Ever?,Pittsburgh_Kids,"Pennsylvania, USA",-0.094444444,negative
372,RT @APFactCheck: A wide range of false claims have circulated online about Dominion Voting Systems since a tabulation mistake was identifie…,LeighHMorris,Georgia,-0.25,negative
373,"RT @PalmerReport: Trump just tweeted ""we win the State of Pennsylvania!""

Twitter slapped a disclaimer on it with a link that says ""Joe Bid…",TruSchool80,"Florida, USA",1,positive
375,RT @joncoopertweets: A Michigan state judge has rejected an attempt by two poll challengers to block the certification of Joe Biden’s win i…,courtneyltpg,,0.8,positive
376,"RT @OhNoSheTwitnt: Trump was willing to meet with Kim Jong-un, Vladimir Putin, and the Taliban, but is refusing to meet with Joe Biden.",DVinson79,"Mesquite, TX",0.25,positive
378,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,kathi_keeley,,0.25,positive
379,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,VtSusie,"Vermont, USA",0.25,positive
380,"RT @bluestein: Joe Biden captures Georgia in race for the White House, becoming the first Democrat to win the state in a presidential conte…",teamcline,"Atlanta, GA",0.375,positive
381,"RT @maggieNYT: NEW - Trump has put Rudy Giuliani in charge of his campaign lawsuits related to the outcome of the election, as well as all…",Friend_Sonic,,0.068181818,positive
382,"RT @RBReich: Thanks to communities of color, Joe Biden flipped 5 states.

He must never forget who delivered him the presidency.",CarrieSparrevo1,"California, USA",0.2,positive
383,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,Laur_McGovern,"Pennsylvania, USA",0.25,positive
384,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,_CXVO,,0.25,positive
385,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,jonathanmusoke,USA,0.25,positive
386,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,lulusenseiart,"Bogotá, D.C., Colombia",0.25,positive
387,RT @KannoYoungs: NEW At least 30 Secret Service officers tested positive for coronavirus and an additional 60 are quarantining. W/ ⁦@nytmik…,AndreaLRusso212,,-0.084090909,negative
388,"RT @DineshDSouza: This video documenting Joe Biden's long history of lying could not be any more brutal.

A must-watch if you want to under…",fireman101381,Ohio,-0.141666667,negative
